paper no.;author;year;scale name;general notes ;clear construct definition;relevance of construct (to motivation review);paradigm fit;enough information?;include/exclude;scale in another original paper;instrument focused 1(y)/0(n);note: focus if not instrumental;external validity (y/n);which external validity;Test theory;note 1: validity;No of categories;variance in score y/n/nr;ceiling/floor effect;internal consistency y/n;internal consistency measure;internal consistency score;inter-rater reliability y/n;inter-rater reliability score;note2: reliabilty;crucial skill;disadvantaged population;note3: fairness;Duration;estimate y/n;No. items;expansion/reduction possible;note4: efficiency;age group mean;age group range;grade;ages applied;country of study;population (typical/what disorder);Particular sample (e.g. non-native, underprivileged);sample size;note5: sample;IQ y/n;SES y/n;personality measure y/n;musical training y/n;home environment y/n2;note6: control variables;Hearing Acuity;volume;Timbre/Instrument;Analysis;Discrimination / Recognition;Association;Recall / Production;Performance;Sensorimotor synchronization;meter;beat;tempo;Analysis5;Discrimination / Recognition6;Association7;Recall/ Production;Performance8;Key/Absolute Pitch;mode;Analysis9;Discrimination/Recognition;Association10;Recall / Production11;Performance12;Analysis13;Discrimination/recognition14;Association15;Recall/ Production16;Performance17;Improvisation;composition;Singing ;Dance;interest;internal motivation;external motivation;note names;basic music categories;form perception;aesthetics/ aesthetical evaluation;function/target audience;emotion/mood;single tones;intervals;chords;phrases;harmonic sequence;full songs;individual or group testing;potential for group testing;evaluation notes;study design notes;questionnaire/interview;self-report;parent report;teacher-report;available for research use (y/n/unsure);all necessary items and instructions for testing available in paper or online (y/n);coder;missing tags;newly added?;;;;;;;;;;;;;;;
1453a;Jones, B. D. & Sigmon, M. L.;2016;MUSIC Model of Academic Motivation Inventory (MMI);Empowerment subscale (3 items): measures the degree to which a student percieves that they have control of their learning environment. Paper reports the validation study for the child-friendly version of the scale. This measure is not specific to music but can be used to measure motivation in any subject area with reference to lessons recieved in that subject. Exclude on this basis?;1;1;1;1;4;;0;focus not specific to music but could be applied to music lessons;y;"used the same measure on children to compare quality of lessons between teachers and student teachers; compared measure between a younger and older group of children";MUSIC Model of Motivation (Jones, 2009);this study aimed to validate the new child-friendly version of the scale;4 point likert: no, maybe, yes, definitely yes;nr;nr;y;cronbach's alpha;a=.75 with younger group, .68 with older group;n;nr;cronbach's alpha also calculated for teachers vs student teachers, a=.71 student teachers, .7 teachers;language skills;"young readers; dyslexia";;2m;y;3;n;3 items chosen based on efficiency in an adult sample;;6 to 10;grades 1 to 5;6,7,8,9,10;US;TD;;535;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;not specific to music but does refer to course/coursework, thus could potentially only be applied in formal settings;child questionnaire;1;1;;;y;y: items and instructions included in a pdf available online including transaltions to many languages ;CM;;;;;;;;;;;;;;;;;
1453b;Jones, B. D. & Sigmon, M. L.;2016;MUSIC Model of Academic Motivation Inventory (MMI);Usefulness subscale measures the degree to which a student percieves coursework is useful to his or her future. Paper reports the validation study for the child-friendly version of the scale. This measure is not specific to music but can be used to measure motivation in any subject area with reference to lessons recieved in that subject.;1;1;1;1;4;;0;focus not specific to music but could be applied to music lessons;y;"used the same measure on children to compare quality of lessons between teachers and student teachers; compared measure between a younger and older group of children";Expectancy-Value model: competence;this study aimed to validate the new child-friendly version of the scale;4 point likert: no, maybe, yes, definitely yes;nr;nr;y;cronbach's alpha;a=.63 with younger group, .77 with older group;n;nr;cronbach's alpha also calculated for teachers vs student teachers, a=.71 student teachers, .7 teachers;language skills;"young readers; dyslexia";;2m;y;3;n;3 items chosen based on efficiency in an adult sample;;6 to 10;grades 1 to 5;6,7,8,9,10;US;TD;;535;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;not specific to music but does refer to course/coursework, thus could potentially only be applied in formal settings;child questionnaire;1;1;;;y;y: items and instructions included in a pdf available online including transaltions to many languages ;CM;;;;;;;;;;;;;;;;;
1453c;Jones, B. D. & Sigmon, M. L.;2016;MUSIC Model of Academic Motivation Inventory (MMI);Success subscale measures the degree to which a student percieves that they can suceed at the coursework. Paper reports the validation study for the child-friendly version of the scale. This measure is not specific to music but can be used to measure motivation in any subject area with reference to lessons recieved in that subject.;1;1;1;1;4;;0;focus not specific to music but could be applied to music lessons;y;"used the same measure on children to compare quality of lessons between teachers and student teachers; compared measure between a younger and older group of children";Expectancy-Value model: competence;this study aimed to validate the new child-friendly version of the scale;4 point likert: no, maybe, yes, definitely yes;nr;nr;y;cronbach's alpha;a=.66 with younger group, .64 with older group;n;nr;cronbach's alpha also calculated for teachers vs student teachers, a=.69 student teachers, .62 teachers;language skills;"young readers; dyslexia";;2m;y;3;n;3 items chosen based on efficiency in an adult sample;;6 to 10;grades 1 to 5;6,7,8,9,10;US;TD;;535;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;not specific to music but does refer to course/coursework, thus could potentially only be applied in formal settings;child questionnaire;1;1;;;y;y: items and instructions included in a pdf available online including transaltions to many languages ;CM;;;;;;;;;;;;;;;;;
440;"Steinberg, S.; Liu, T. L. & Lense, M. D.";2021;Music @ Home;see paper 1455;1;1;1;1;4;1;;;y;child musical engagement measured based on frequency of time spent in various musical activities;;;7 point likert;y: SD=7.7;n;y;cronbach's alpha;a=.89;n;nr;;;;;5m;n;;n;full battery of 7 questionnaires took 20-30 minutest to complete;35.9 months;0 to 5 years (6 to 70 months);;0,1,2,3,4,5;US and Canada;TD;;177;participants were parents reporting on children with these demographics during covid-19 pandemic;n;n;n;n;y;covid-19 pandemic meant parents and children were at home during lockdown so could report acccurately on frequency of musical engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;;;parent questionnaires administered online;;;;;;;CM;;;;;;;;;;;;;;;;;
1453d;Jones, B. D. & Sigmon, M. L.;2016;MUSIC Model of Academic Motivation Inventory (MMI);Interest measures the degree to which student percieves that the instructional methods and coursework are interesting. Paper reports the validation study for the child-friendly version of the scale. This measure is not specific to music but can be used to measure motivation in any subject area with reference to lessons recieved in that subject.;1;1;1;1;4;;0;focus not specific to music but could be applied to music lessons;y;"used the same measure on children to compare quality of lessons between teachers and student teachers; compared measure between a younger and older group of children";Interest theory (Hidi & Reinninger, 2006);this study aimed to validate the new child-friendly version of the scale;4 point likert: no, maybe, yes, definitely yes;nr;nr;y;cronbach's alpha;a=.7 with younger group, .8 with older group;n;nr;cronbach's alpha also calculated for teachers vs student teachers, a=.73 student teachers, .77 teachers;language skills;"young readers; dyslexia";;2m;y;3;n;3 items chosen based on efficiency in an adult sample;;6 to 10;grades 1 to 5;6,7,8,9,10;US;TD;;535;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;not specific to music but does refer to course/coursework, thus could potentially only be applied in formal settings;child questionnaire;1;1;;;y;y: items and instructions included in a pdf available online including transaltions to many languages ;CM;;;;;;;;;;;;;;;;;
1453e;Jones, B. D. & Sigmon, M. L.;2016;MUSIC Model of Academic Motivation Inventory (MMI);Caring subscale assesses whether student percieves that the instructor cares about whether the student suceeds in the coursework and cares about the students well being. Paper reports the validation study for the child-friendly version of the scale. This measure is not specific to music but can be used to measure motivation in any subject area with reference to lessons recieved in that subject.;1;1;1;1;4;;0;focus not specific to music but could be applied to music lessons;y;"used the same measure on children to compare quality of lessons between teachers and student teachers; compared measure between a younger and older group of children";Caring (Noddings, 1992);this study aimed to validate the new child-friendly version of the scale;4 point likert: no, maybe, yes, definitely yes;nr;nr;y;cronbach's alpha;a=.62 with younger group, .67 with older group;n;nr;cronbach's alpha also calculated for teachers vs student teachers, a=.69 student teachers, .65 teachers;language skills;"young readers; dyslexia";;2m;y;;n;3 items chosen based on efficiency in an adult sample;;6 to 10;grades 1 to 5;6,7,8,9,10;US;TD;;535;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;group;y;not specific to music but does refer to course/coursework, thus could potentially only be applied in formal settings;child questionnaire;1;1;;;y;y: items and instructions included in a pdf available online including transaltions to many languages ;CM;;;;;;;;;;;;;;;;;
1444;"Jorgensen, E. J. ; Walker, E. A.";2019;Untitled;Parent reports on child's frequency of music participation and importance of music participation;1;1;1;1;4;;0;includes live and recorded music listening as well as individual and ensemble music practice;y;other measures: parents music participation;n;;"5-point frequency scale; 7-point likert for importance (not at all- extremely)";nr;nr;nr;nr;NA;n;NA;;;;;12m;n;39;y;some items are not directly related to motivation and could be removed to shorten questionnaire;11.7 (HH), 11.5 (NH);;5th grade;;US;hearing impaired & normal hearing;;88;"67 hard of hearing; 21 controls";n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;some good items that could be put to use in a questionnaire focused solely on motivation;parent questionnaire;1;;1;;unclear;y: in paper appendix;CM;;;;;;;;;;;;;;;;;
1452;"Kaya Kara, O.; Turker, D.; Kara, K. & Yardimci-Lokmanoglu, B. N.";2020;The participation environment measure for children and youth (PEM-CY);Participation section: Involvement scale. Not specific to music (cover lots of different activities of which music is only one) but can be applied to music as has been done in the study reported in this paper: most relevant are questions relating to frequency of engagement with activity and extent of involvement;1;1;1;1;4;;0;general focus on music and arts combined;y;discriminant validity: children with neurological differences;no;found interaction effect on involvement score based on age and developmental disorder which authors use to support discriminant validity of scale;5 point likert: very involved to minimally involved;y: likert scales converted into yes and no responses with yes (M=2.44, SD=1.28) and no (M=3.44, SD=.9);nr;y;"cronbach's alpha; test retest coefficients (ICC)";"a= .73 (school), .77 (community), .78 (home) ; test-retest =.83 (school), .84 (community), .87 (home)";n;NA;;insight into children's lives across home school and community settings;parent who lives seperately;;1m;y;3;n;this is an estimate of no.items based on information provided in paper. Only one item that is applied across different settings (home/school/community), could be expanded;11.5-12.1;5 to 17;;5,6,7,8,9,10,11,12,13,14,15,16,17;Turkey;ADHD, Cerebal Palsy, Learning disability, ASD, intellectual delay, hearing impairment, multiple disabilities, vision impairement, speech/language impairment, developmental delay, orthopedic impairment, duchene muscular dystrophy and TD;;410;sample split into TD and those with disabilities;n;y;n;n;n;Income, parent education and type of community reported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;applies to lots of different contexts and may not be specific enough to assessing motivation for music in a nuaned way;parent questionnaire;1;;1;;unclear;y: item described in section 2.4.1;CM;;;;;;;;;;;;;;;;;
433a;Matsunobu, K.;2023;Untitled;Shakuhachi self efficacy subscale: concerns self-estimation as related to task-based confidence. Factor one (4 items) of three factors which aimed to measure motivation for learning a traditional Japanese instrument. Could theoretically be applied outside this context.;1;1;1;1;4;;1;focus on interest for learning a difficult japanese instrument called the shakuhachi;y;measured against different observations of ability to play instrument (e.g. ability to make a sound/ability to play a piece/execute a particular technique);Expectancy-Value model: competence;subscale scores significantly higher for those who could make a sound on the instrument and play a piece indicating construct validity;5-point likert scale;nr;nr;y;cronbach's alpha;a=.85;n;nr;very good';;;;3m;y;4;n;factorial structure validated;;10 to 11;5th grade;;Japan;TD;;220;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;needs to be validated with other musical instruments;self-report questionnaire;1;1;;;n;y: first 4 items in table 1;CM;;;;;;;;;;;;;;;;;
433b;Matsunobu, K.;2023;Untitled;Shakuhachi internal motivation: concerns inherent enjoyment and satisfaction that arises from the activity itself. Factor two (4 items) of three factors which aimed to measure motivation for learning a traditional Japanese instrument. Could theoretically be applied outside this context.;1;1;1;1;4;;1;focus on interest for learning a difficult japanese instrument called the shakuhachi;y;measured against different observations of ability to play instrument (e.g. ability to make a sound/ability to play a piece);Self-Determination theory;subscale scores significantly higher for those who could make a sound on the instrument and play a piece indicating construct validity;5-point likert scale;nr;nr;y;cronbach's alpha;a=.87;n;nr;very good';;;;3m;y;4;n;factorial structure validated;;10 to 11;5th grade;;Japan;TD;;220;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;needs to be validated with other musical instruments;self-report questionnaire;1;1;;;n;y: items 5-8 in table 1;CM;;;;;;;;;;;;;;;;;
433c;Matsunobu, K.;2023;Untitled;Music self-efficacy subscale: refers to self-perception of one's general music skills, unrelated to the shakuhachi. factor three of 3 (3 items).;1;1;1;1;4;;1;does include one general item 'I think I m good at music';y;measured against different observations of ability to play instrument (e.g. ability to make a sound/ability to play a piece);n;subscale scores significantly higher for those who could make a sound on the instrument and play a piece indicating construct validity;5-point likert scale;nr;nr;y;cronbach's alpha;a=.68;n;nr;minimally acceptable'- could be explained by broad scope of items;;;;3m;y;3;n;factorial structure validated;;10 to 11;5th grade;;Japan;TD;;220;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;reliability score low;child questionnaire;1;1;;;n;y: items 10 & 11 in table 1;CM;;;;;;;;;;;;;;;;;
413a;McCormick, J. & McPherson, G. E.;2007;Untitled;difficulty subscale: measures difficulty of different aspects of instrument learning;1;1;1;1;4;;1;;y;"other measures: grade examination (AMEB); convergent validity between subscales and construct validity";Expectancy-Value model (Eccles);subscales were all correlated with each other as posited by expectancy theory ;7-point likert scale (very easy- very hard);nr;nr;y;cronbach's alpha;a=0.81;n;NA;;instrument training; those who don’t have access to instrument learning;language not an issue here as designed for older students (9+);5m;y;8;y;retained 5 items based on structural model;13.3y;9 to 19 y;;9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19;Australia;TD;instrumental music learners;723;;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: retained items listed in paper under 'Measurement models and fit statistics';SH;motivation;;;;;;;;;;;;;;;;
413b;McCormick, J. & McPherson, G. E.;2007;Untitled;attainment subscale: measures percieved importance of learning an instrument and taking the music exam ;1;1;1;1;4;;1;;y;"other measures: grade examination (AMEB); convergent validity between subscales and construct validity";Expectancy-Value model (Eccles);subscales were all correlated with each other as posited by expectancy theory ;7-point likert scale (not at all important- very important);nr;nr;y;cronbach's alpha;a=0.77;n;NA;;instrument training; those who don’t have access to instrument learning;language not an issue here as designed for older students (9+);8m;y;12;y;retained 6 items based on structural model;13.3y;9 to 19 y;;9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19;Australia;TD;instrumental music learners;723;;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: retained items listed in paper under 'Measurement models and fit statistics';SH;;;;;;;;;;;;;;;;;
413c;McCormick, J. & McPherson, G. E.;2007;Untitled;intrinsic value subscale: targets enjoyment and interest;1;1;1;1;4;;1;;y;"other measures: grade examination (AMEB); convergent validity between subscales and construct validity";Expectancy-Value model (Eccles);subscales were all correlated with each other as posited by expectancy theory ;"7-point likert scale (not at all enjoyable- very enjoyable; not at all interesting- very interesting)";nr;nr;y;cronbach's alpha;a=0.89;n;NA;;instrument training; those who don’t have access to instrument learning;language not an issue here as designed for older students (9+);15m;y;24;y;retained 6 items based on structural model;13.3y;9 to 19 y;;9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19;Australia;TD;instrumental music learners;723;;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: retained items listed in paper under 'Measurement models and fit statistics';SH;;;;;;;;;;;;;;;;;
430;"Kaya Kara, O.; Cetin, S. Y.; Turker, D.; Yikilmaz, S. K.; Tamer, S. & Kara, K.";2023;The participation environment measure for children and youth (PEM-CY);see paper 1452;1;1;1;1;4;1;;general focus on music and arts combined;n;;no;;;;n;y;;;n;nr;reliability statistics are reported from a previous study ;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413d;McCormick, J. & McPherson, G. E.;2007;Untitled;utility value subscale: measures how useful learning different musical skills and participating in exams is to learner;1;1;1;1;4;;1;;y;"other measures: grade examination (AMEB); convergent validity between subscales and construct validity";Expectancy-Value model (Eccles);subscales were all correlated with each other as posited by expectancy theory ;7-point likert scale (not at all useful- very useful);nr;nr;y;cronbach's alpha;a=0.81;n;NA;;instrument training; those who don’t have access to instrument learning;language not an issue here as designed for older students (9+);10m;y;11;y;retained 5 items based on structural model;13.3y;9 to 19 y;;9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19;Australia;TD;instrumental music learners;723;;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: retained items listed in paper under 'Measurement models and fit statistics';SH;;;;;;;;;;;;;;;;;
431;"Kaya Kara, O.; Tonak, H. A.; Kara, K.; Sonbahar, U. H.; and Kose, B.; Sahin, S.; Kara, M. Z.";2021;The participation environment measure for children and youth (PEM-CY);see paper 1452;1;1;1;1;4;1;;;;;;;;;;;;;;;;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;"Gfeller, K.; Witt, S. A.; Spencer, L. J.; Stordahl, J.; Tomblin, B.";2000;Untitled;Parent questionnaire adapted for children from the Musical background and appreciation questionnaire from the Iowa music perception and appraisal battery: More focused on quantifying musical involvement than on motivation for involvement;1;0;1;1;3 -> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CM;;;;;;;;;;;;;;;;;
432;"Koehler, F.; Warth, M.; Ditzen, B. & Neubauer, A. B.";2021;Autonomous motivation scale;"Scale adapted from the self-regulation questionnaire; single item to assess intrinsic and single item to assess extrinsic motivation. Diary study using questionnaires to investigate the musical acitvity and motivation of hobby musicians. After excluding those who didn't complete all questionnaires and 'professional' musicians, there were no 10-12 year olds left in the sample";1;0;1;1;3 -> exclude;;;;y;measure of flow during music making: Flow State Scale short form and positive/negative affect scale;Self-Determination theory;autonomous motvation correlated at r=.25-.29 with flow and r=.13 with positive r=-.19 with negative;5 point agreement scale;y: SD=.99;n;n;nr;nr;;;only two items, one for each construct (internal/external), which resulted in a score calculated by difference between scores on two items, means that reliability estimates might be difficult to obtain;language skills;;;2m;;;y;could be expanded to include more items;39,9;13 to 82;;None applicable;Germany;TD;hobby musicians (excl. professionals);1042;none of this final sample fell within the age group of interest: I have kept this because it was still administered for our age group, despite not being completed due to attrition;n;n;y;y;n;Big Five used to measure personality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;;;;;;;;;;;CM;;;;;;;;;;;;;;;;;
414;"McCormick, J.; McPherson, G. E.";2003;Untitled;questionnaire measures motivational components of instrument learning that are related to performance in an exam. includes questions on: self-regulatory learning (cognitive strategy use, self-regulation) intrinsic value, interest, anxiety, self-efficacy and practice frequency;1;1;1;1;4;;1;does include one question on 'informal aspects of music practice' (playing by ear for own enjoyment/ improvising own music);y;other measures: grade examindation (Trinity college);Self-Efficacy;;7-point likert scale (not at all true of me- very true of me);nr;nr;nr;nr;NA;n;NA;;instrument training; those who don’t have access to instrument learning;language not an issue here as designed for older students (9+);10m;y;16;n;;12.81y;9 to 18 y;nr;9, 10, 11, 12, 13, 14, 15, 16, 17, 18;Australia;TD;string, brass and woodwind players completing Trinity College grade exam (London);332;;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;n;n;SH;self-regulation;;;;;;;;;;;;;;;;
1451a;McPherson & O'Neill;2010;3 dimensions of motivation questionnaire;Competence beliefs subscale: expectancy-value theoretical framework: questionnaire adapted from original by Eccles and Wigfield (1995) see also papers 1441, 414 & 413. Key difference from paper 413 is the focus on music as a subject rather than instrument learning.;1;1;1;1;4;;0;focus on music as a subject;y;cross-cultural;Expectancy-Value model (Eccles);questionnaire tested across 8 different countries;"5-point likert (very bad-very good; very poorly-very well; the best-the worst; much better than other students- much worse than other students)";y: SD's presented by country, gender and school level, see tables 3+4 in paper;n;y;cronbach's alpha;a=.81-.86 across 8 countries;n;NA;;taught music as a subject; those who don’t have access to music lessons;tested across 8 countries with children who do have acess to music lessons: evidence for fairness across cultures;3m;y;4;n;;;9 to 21 y;4 to 12;9,10,11,12,13,14,15,16,17,18,19,20,21;Brazil,  Finland, Hong Kong/China, Israel, Korea, Mexico, US;TD;;24143;cross-culture;n;n;n;y;y;questions asked about whether there were instruments at home and/or whether they were learning an instrument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;validation across 8 countries and large sample size provides good evidence for psychometric properties, however is still focused around music as a subject;child questionnaire;1;1;;;y;y: items listed in paper, plus a copy of the full questionnaire can be obtained from the first author ;;;;;;;;;;;;;;;;;;
1449;"Spector, June, T.; Yong, Raymond; Eckart, Altenmüller; Jabusch, Hans-Christian";2014;;two questions on attitudes towards music and practice: not enough info to judge usefulness;1;1;1;0;3 -> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
434b;"Oliveira, A.;McPherson, G. E.; Ribeiro, L. M. & Oliveira-Silva, P.";2023;EXPERT (expectations, perceptions and parental support): specifically the child section relating to motivation;parent report desgined to measure the level of support they provide and their level of musical involvement;1;1;0;1;3 -> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1451b;McPherson & O'Neill;2010;3 dimensions of motivation questionnaire;Values subscale: expectancy-value theoretical framework: questionnaire adapted from original by Eccles and Wigfield (1995): see also papers 1441, 414 & 413;1;1;1;1;4;;0;focus on music as a subject;y;cross-cultural;Expectancy-Value model (Eccles);questionnaire tested across 8 different countries;"5-point likert (I don't like it- I like it a lot; not interesting-very interesting; not important-very important; not useful- very useful)";y: SD's presented by country, gender and school level, see tables 3+4 in paper;n;n;cronbach's alpha;a=.88-.92 across 8 countries;n;NA;;taught music as a subject; those who don’t have access to music lessons;tested across 8 countries with children who do have acess to music lessons: evidence for fairness across cultures;5m;y;10;n;;;9 to 21 y;4 to 12;9,10,11,12,13,14,15,16,17,18,19,20,21;Brazil,  Finland, Hong Kong/China, Israel, Korea, Mexico, US;TD;;24143;cross-culture;n;n;n;y;y;questions asked about whether there were instruments at home and/or whether they were learning an instrument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;validation across 8 countries and large sample size provides good evidence for psychometric properties, however is still focused around music as a subject;child questionnaire;1;1;;;y;y: items listed in paper, plus a copy of the full questionnaire can be obtained from the first author ;;;;;;;;;;;;;;;;;;
1451d;McPherson & O'Neill;2010;3 dimensions of motivation questionnaire;"Task difficulty subscale: expectancy-value theoretical framework: questionnaire adapted from original by Eccles and Wigfield (1995); see also papers 1441, 414 & 413";1;1;1;1;4;;0;focus on music as a subject;y;cross-cultural;Expectancy-Value model (Eccles);questionnaire tested across 8 different countries;"5-point likert (not useful-very useful; not worthwhile-very worthwhile)";y: SD's presented by country, gender and school level, see tables 3+4 in paper;n;y;cronbach's alpha;a=.79-.86 across 8 countries;n;NA;;taught music as a subject; those who don’t have access to music lessons;tested across 8 countries with children who do have acess to music lessons: evidence for fairness across cultures;1m;y;2;n;;;9 to 21 y;4 to 12;9,10,11,12,13,14,15,16,17,18,19,20,21;Brazil,  Finland, Hong Kong/China, Israel, Korea, Mexico, US;TD;;24143;cross-culture;n;n;n;y;y;questions asked about whether there were instruments at home and/or whether they were learning an instrument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;validation across 8 countries and large sample size provides good evidence for psychometric properties, however is still focused around music as a subject;child questionnaire;1;1;;;y;y: items listed in paper, plus a copy of the full questionnaire can be obtained from the first author ;;;;;;;;;;;;;;;;;;
435c;"Qi, W.; Dong, X. & Xue, X.";2021;Piano learning questionniare;Basic understanding of music literacy;1;0;1;1;3 -> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435d;"Qi, W.; Dong, X. & Xue, X.";2021;Piano learning questionniare;Influence of family and environment to attitudes towards music;1;1;1;0;3 -> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419a;Mizener, C. P. ;1993;Untitled;questionnaire, 44 items (available on request);1;1;1;1;4;;0;singing interest, choir participation, classroom singing activities, out-of-school-singing experiences, self-perception of singing skill;y;singing ability measures;n;;"2 (yes or no; or selecting from two varying options) or 3 (selecting from varying options)";nr;n;n;NA;NA;n;NA;there was no overall motivation score reported;;;;30m;n;44;y;reduction advisable if interested solely on motivation: 44 items is too long;;;3,4,5 and 6;;US;TD;;542;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;y;n: on request;VB/CM;;;;;;;;;;;;;;;;;
434a;"Oliveira, A.;McPherson, G. E.; Ribeiro, L. M. & Oliveira-Silva, P.";2023;EXPERT (expectations, perceptions and parental support): specifically the child section relating to motivation;child measure of motivation designed as part of an admissions procedure to a conservatoire in portugal: items selected as relevant to competence, autonomy and relatedness;1;1;1;1;4;;1;;n;na;Self-Determination theory;other measures taken (parent questionnaire and aural aptitude assessments) but analysis was not undertaken to determine whether motivation scores related to these measures;3 point likert (yes, no, maybe);y: M= 58.89, SD=6.76;n;y;cronbach's alpha;a=.68;n;nr;;language skills;"young readers; dyslexia";authors report putting some consideratiinto wording to help ease comprehension;20m;y;26;y;would advise shortening measure: not all 26 items measure motivation for music;5.59 years;5-6 years;;5,6 ;Portugal;TD;applicants to a portugese conservatoire;54;;n;n;n;y;y;"information on previous musical experience and having played a musical instrument; information on suiblings that play musical instruments";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;individual;y;some children needed clarification on the questions being asked. One example item 'to study music is important to you?' sometimes needed clarification as: something special to you;child interview;;1;;;n;n;CM;;;;;;;;;;;;;;;;;
